Date,N_p,N_n,N_total,Actual_Return,Signal,Direction,Signal_Direction
2013-02-20,1.0,0.0,4.0,-0.0153038111383806,1.0,0,"긍정 우세
(N_p > N_n)"
2013-02-21,2.0,0.0,2.0,-0.010403178725052,2.0,0,"긍정 우세
(N_p > N_n)"
2013-02-22,1.0,0.0,1.0,0.009685510162761,1.0,1,"긍정 우세
(N_p > N_n)"
2013-02-25,3.0,0.0,5.0,-0.0144126064653073,3.0,0,"긍정 우세
(N_p > N_n)"
2013-02-28,1.0,0.0,1.0,-0.0006546167465617,1.0,0,"긍정 우세
(N_p > N_n)"
2013-03-04,1.0,0.0,1.0,0.0038773019554803,1.0,1,"긍정 우세
(N_p > N_n)"
2013-03-06,1.0,0.0,1.0,-0.0005458110215661,1.0,0,"긍정 우세
(N_p > N_n)"
2013-03-11,0.0,0.0,1.0,0.0026199230337409,0.0,1,동률
2013-03-19,0.0,0.0,1.0,-0.0026223178363837,0.0,0,동률
2013-03-25,1.0,0.0,1.0,-0.0029891991284668,1.0,0,"긍정 우세
(N_p > N_n)"
2013-03-28,1.0,0.0,1.0,0.0033778388998153,1.0,1,"긍정 우세
(N_p > N_n)"
2013-04-02,1.0,0.0,1.0,0.004843890850219,1.0,1,"긍정 우세
(N_p > N_n)"
2013-04-08,1.0,0.0,1.0,0.0057399174625396,1.0,1,"긍정 우세
(N_p > N_n)"
2013-04-09,1.0,0.0,1.0,0.0048444743337341,1.0,1,"긍정 우세
(N_p > N_n)"
2013-04-11,0.0,0.0,1.0,0.0008825269874517,0.0,1,동률
2013-04-15,1.0,0.0,1.0,-0.0238121859512904,1.0,0,"긍정 우세
(N_p > N_n)"
2013-04-22,0.0,0.0,1.0,0.0085743840514431,0.0,1,동률
2013-04-23,0.0,0.0,1.0,0.0110652467896212,0.0,1,동률
2013-05-06,1.0,0.0,1.0,0.0042443500436597,1.0,1,"긍정 우세
(N_p > N_n)"
2013-05-13,0.0,0.0,1.0,0.000643069821526,0.0,1,동률
2013-05-14,0.0,0.0,1.0,0.0069268748858737,0.0,1,동률
2013-05-15,1.0,0.0,1.0,0.0026020861390985,1.0,1,"긍정 우세
(N_p > N_n)"
2013-05-22,0.0,0.0,1.0,-0.0110847335500733,0.0,0,동률
2013-05-24,0.0,0.0,1.0,-8.09468937564839e-05,0.0,0,동률
2013-05-29,0.0,0.0,2.0,-0.0061251210857455,0.0,0,동률
2013-06-04,1.0,0.0,1.0,-0.0058031629355066,1.0,0,"긍정 우세
(N_p > N_n)"
2013-06-24,0.0,0.0,1.0,-0.0108690119098592,0.0,0,동률
2013-06-26,1.0,0.0,3.0,0.0084620698511634,1.0,1,"긍정 우세
(N_p > N_n)"
2013-06-27,0.0,0.0,1.0,0.0075943324016918,0.0,1,동률
2013-07-01,1.0,0.0,1.0,0.0091794579400206,1.0,1,"긍정 우세
(N_p > N_n)"
2013-07-02,1.0,0.0,1.0,-0.0003173944002529,1.0,0,"긍정 우세
(N_p > N_n)"
2013-07-03,1.0,0.0,2.0,0.0029912098279722,1.0,1,"긍정 우세
(N_p > N_n)"
2013-07-05,1.0,0.0,1.0,0.0103697397682227,1.0,1,"긍정 우세
(N_p > N_n)"
2013-07-16,1.0,0.0,1.0,-0.0024920346996696,1.0,0,"긍정 우세
(N_p > N_n)"
2013-07-23,1.0,0.0,1.0,-0.0058659960940373,1.0,0,"긍정 우세
(N_p > N_n)"
2013-07-25,0.0,0.0,1.0,0.0071487996010377,0.0,1,동률
2013-07-31,1.0,0.0,1.0,0.0027375165740557,1.0,1,"긍정 우세
(N_p > N_n)"
2013-08-02,1.0,0.0,1.0,0.0037679753445691,1.0,1,"긍정 우세
(N_p > N_n)"
2013-08-06,1.0,0.0,1.0,-0.0073599512584783,1.0,0,"긍정 우세
(N_p > N_n)"
2013-08-09,0.0,0.0,1.0,-0.0024556322709139,0.0,0,동률
2013-08-13,0.0,0.0,1.0,0.0039482800657126,0.0,1,동률
2013-08-29,0.0,0.0,1.0,0.0074999514212246,0.0,1,동률
2013-09-09,0.0,0.0,1.0,0.0126146982526849,0.0,1,동률
2013-09-10,0.0,0.0,1.0,0.0061627034606801,0.0,1,동률
2013-09-12,0.0,0.0,3.0,-0.0024268496027662,0.0,0,동률
2013-09-13,1.0,0.0,1.0,0.001671154768865,1.0,1,"긍정 우세
(N_p > N_n)"
2013-09-18,2.0,0.0,2.0,0.0101289323493143,2.0,1,"긍정 우세
(N_p > N_n)"
2013-09-19,2.0,0.0,2.0,0.0015170551102483,2.0,1,"긍정 우세
(N_p > N_n)"
2013-09-20,0.0,0.0,1.0,-0.0038660421485313,0.0,0,동률
2013-09-27,0.0,0.0,1.0,-0.0015419014623118,0.0,0,동률
2013-09-30,0.0,0.0,1.0,-0.0026735069605374,0.0,0,동률
2013-10-01,1.0,0.0,2.0,0.0123293773905226,1.0,1,"긍정 우세
(N_p > N_n)"
2013-10-04,1.0,0.0,1.0,0.0088518552465808,1.0,1,"긍정 우세
(N_p > N_n)"
2013-10-09,2.0,0.0,4.0,-0.0046145691324396,2.0,0,"긍정 우세
(N_p > N_n)"
2013-10-10,1.0,0.0,1.0,0.0225597969541935,1.0,1,"긍정 우세
(N_p > N_n)"
2013-10-11,0.0,0.0,1.0,0.0082749763178886,0.0,1,동률
2013-10-16,1.0,0.0,1.0,0.0119714818247951,1.0,1,"긍정 우세
(N_p > N_n)"
2013-10-21,0.0,0.0,1.0,0.0014740947219062,0.0,1,동률
2013-10-23,1.0,0.0,1.0,-0.0057258172290064,1.0,0,"긍정 우세
(N_p > N_n)"
2013-10-25,0.0,0.0,1.0,0.0036651293542169,0.0,1,동률
2013-10-29,1.0,0.0,2.0,0.0030989346649175,1.0,1,"긍정 우세
(N_p > N_n)"
2013-11-07,0.0,0.0,1.0,-0.0189778288059427,0.0,0,동률
2013-11-12,2.0,0.0,2.0,3.313514530267625e-05,2.0,1,"긍정 우세
(N_p > N_n)"
2013-11-13,0.0,0.0,1.0,0.0116482369946373,0.0,1,동률
2013-12-03,0.0,0.0,1.0,-0.0019924698472514,0.0,0,동률
2013-12-04,2.0,0.0,2.0,0.0001981692355597,2.0,1,"긍정 우세
(N_p > N_n)"
2013-12-06,1.0,0.0,2.0,0.0072771785530438,1.0,1,"긍정 우세
(N_p > N_n)"
2013-12-10,0.0,0.0,1.0,-0.0020301099270353,0.0,0,동률
2013-12-11,1.0,0.0,1.0,-0.0139588896357194,1.0,0,"긍정 우세
(N_p > N_n)"
2013-12-13,0.0,0.0,2.0,0.0006452776580669,0.0,1,동률
2013-12-18,1.0,0.0,1.0,0.011526793318825,1.0,1,"긍정 우세
(N_p > N_n)"
2013-12-20,3.0,0.0,3.0,0.0114831777687363,3.0,1,"긍정 우세
(N_p > N_n)"
2013-12-24,1.0,0.0,2.0,0.0015715056243141,1.0,1,"긍정 우세
(N_p > N_n)"
2013-12-30,2.0,0.0,2.0,-0.0005749059992274,2.0,0,"긍정 우세
(N_p > N_n)"
2014-01-07,0.0,0.0,1.0,0.0096021076778285,0.0,1,동률
2014-01-09,0.0,0.0,1.0,-0.0022613548037789,0.0,0,동률
2014-01-10,2.0,0.0,2.0,0.0044463753411849,2.0,1,"긍정 우세
(N_p > N_n)"
2014-01-13,0.0,0.0,1.0,-0.0147005915044743,0.0,0,동률
2014-01-14,0.0,0.0,1.0,0.0169499472818142,0.0,1,동률
2014-01-15,1.0,0.0,2.0,0.0076164740145854,1.0,1,"긍정 우세
(N_p > N_n)"
2014-01-22,1.0,0.0,1.0,0.0040797951921551,1.0,1,"긍정 우세
(N_p > N_n)"
2014-01-27,1.0,0.0,2.0,-0.0107940843755012,1.0,0,"긍정 우세
(N_p > N_n)"
2014-01-28,2.0,0.0,4.0,0.0035140116558984,2.0,1,"긍정 우세
(N_p > N_n)"
2014-01-30,1.0,0.0,1.0,0.017697443219224,1.0,1,"긍정 우세
(N_p > N_n)"
2014-02-04,1.0,0.0,2.0,0.008646586138342,1.0,1,"긍정 우세
(N_p > N_n)"
2014-02-05,1.0,0.0,1.0,-0.0049534593915887,1.0,0,"긍정 우세
(N_p > N_n)"
2014-02-06,1.0,0.0,1.0,0.0113597157718841,1.0,1,"긍정 우세
(N_p > N_n)"
2014-02-07,0.0,0.0,1.0,0.0169429901280324,0.0,1,동률
2014-02-10,2.0,0.0,2.0,0.0054073718771454,2.0,1,"긍정 우세
(N_p > N_n)"
2014-02-11,1.0,0.0,1.0,0.0103370603471126,1.0,1,"긍정 우세
(N_p > N_n)"
2014-02-13,1.0,0.0,1.0,0.0093732835501372,1.0,1,"긍정 우세
(N_p > N_n)"
2014-02-18,1.0,0.0,1.0,0.0067765386338061,1.0,1,"긍정 우세
(N_p > N_n)"
2014-02-19,0.0,0.0,1.0,-0.0081515059504702,0.0,0,동률
2014-02-20,1.0,0.0,2.0,0.0069844165247008,1.0,1,"긍정 우세
(N_p > N_n)"
2014-02-21,3.0,0.0,3.0,-0.0009700293205606,3.0,0,"긍정 우세
(N_p > N_n)"
2014-02-25,1.0,0.0,1.0,-0.0012532980254897,1.0,0,"긍정 우세
(N_p > N_n)"
2014-02-26,0.0,0.0,1.0,0.0010425938596403,0.0,1,동률
2014-02-28,1.0,0.0,2.0,-0.0025029482195308,1.0,0,"긍정 우세
(N_p > N_n)"
2014-03-03,0.0,0.0,1.0,-0.0071540049166782,0.0,0,동률
